effective_step,stage1_common,A_stage1_continuation,B_wdl20_stage3_40,C_continuous_wdl60,D0_no_weak_control
0,38.671524,,,,
5,39.721007,,,,
10,39.249004,,,,
15,39.766105,,,,
20,40.240545,,,,
25,40.613919,,,,
30,40.483077,,,,
35,41.739641,,,,
40,42.249001,42.478573,41.757046,42.604994,42.497922
45,,42.257868,42.461563,42.372132,41.374114
50,,41.483783,42.284892,43.062604,41.973368
55,,42.810289,42.916284,43.584745,42.123220
60,,43.166896,43.135153,43.725258,41.573558
65,,43.004834,43.162350,45.669903,41.359337
70,,43.322880,44.571256,52.690786,39.849796
75,,49.648767,46.710913,66.594294,47.863365
80,,61.844993,53.603664,69.955563,50.967419
85,,67.000610,64.274157,68.852263,64.374821
90,,67.560348,67.402761,70.243516,67.858911
95,,67.701401,67.472060,71.159430,67.182723
100,,66.346410,68.525708,70.801714,67.393750
