post_stage1_step,A_stage1_continuation,B_wdl20_stage3_40,C_continuous_wdl60,D0_no_weak_control
0,42.478573,41.757046,42.604994,42.497922
5,42.257868,42.461563,42.372132,41.374114
10,41.483783,42.284892,43.062604,41.973368
15,42.810289,42.916284,43.584745,42.123220
20,43.166896,43.135153,43.725258,41.573558
25,43.004834,43.162350,45.669903,41.359337
30,43.322880,44.571256,52.690786,39.849796
35,49.648767,46.710913,66.594294,47.863365
40,61.844993,53.603664,69.955563,50.967419
45,67.000610,64.274157,68.852263,64.374821
50,67.560348,67.402761,70.243516,67.858911
55,67.701401,67.472060,71.159430,67.182723
60,66.346410,68.525708,70.801714,67.393750
