run,run_short,lambda,raw_step,effective_step,metric,value
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,0,40,HumanEval+ extraction fail,0.012195121951219513
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,0,40,MBPP+ extraction fail,0.010582010582010581
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,0,40,LiveCodeBench extraction fail,0.2890625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,1,41,rollout correct ratio,0.48828125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,1,41,response length mean,380.98828125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,2,42,rollout correct ratio,0.623046875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,2,42,response length mean,300.119140625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,3,43,rollout correct ratio,0.4375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,3,43,response length mean,510.099609375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,4,44,rollout correct ratio,0.517578125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,4,44,response length mean,337.654296875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,5,45,HumanEval+ extraction fail,0.03048780487804878
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,5,45,MBPP+ extraction fail,0.005291005291005291
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,5,45,LiveCodeBench extraction fail,0.2421875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,5,45,rollout correct ratio,0.46484375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,5,45,response length mean,455.640625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,6,46,rollout correct ratio,0.46484375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,6,46,response length mean,454.046875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,7,47,rollout correct ratio,0.4609375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,7,47,response length mean,368.55078125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,8,48,rollout correct ratio,0.51953125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,8,48,response length mean,403.48046875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,9,49,rollout correct ratio,0.5703125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,9,49,response length mean,396.228515625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,10,50,HumanEval+ extraction fail,0.024390243902439025
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,10,50,MBPP+ extraction fail,0.015873015873015872
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,10,50,LiveCodeBench extraction fail,0.3515625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,10,50,rollout correct ratio,0.572265625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,10,50,response length mean,443.912109375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,11,51,rollout correct ratio,0.48828125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,11,51,response length mean,430.640625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,12,52,rollout correct ratio,0.560546875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,12,52,response length mean,327.6484375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,13,53,rollout correct ratio,0.5234375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,13,53,response length mean,434.57421875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,14,54,rollout correct ratio,0.51171875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,14,54,response length mean,388.44921875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,15,55,HumanEval+ extraction fail,0.018292682926829267
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,15,55,MBPP+ extraction fail,0.010582010582010581
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,15,55,LiveCodeBench extraction fail,0.375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,15,55,rollout correct ratio,0.595703125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,15,55,response length mean,414.646484375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,16,56,rollout correct ratio,0.5390625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,16,56,response length mean,423.91796875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,17,57,rollout correct ratio,0.490234375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,17,57,response length mean,374.1171875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,18,58,rollout correct ratio,0.505859375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,18,58,response length mean,613.935546875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,19,59,rollout correct ratio,0.62109375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,19,59,response length mean,536.08203125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,20,60,HumanEval+ extraction fail,0.012195121951219513
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,20,60,MBPP+ extraction fail,0.013227513227513227
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,20,60,LiveCodeBench extraction fail,0.421875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,20,60,rollout correct ratio,0.45703125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,20,60,response length mean,587.90234375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,21,61,rollout correct ratio,0.58203125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,21,61,response length mean,354.998046875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,22,62,rollout correct ratio,0.5625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,22,62,response length mean,464.13671875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,23,63,rollout correct ratio,0.48828125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,23,63,response length mean,657.69140625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,24,64,rollout correct ratio,0.53125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,24,64,response length mean,629.41796875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,25,65,HumanEval+ extraction fail,0.012195121951219513
