run,dataset,final_effective_step,final_pass_at_1,best_effective_step,best_pass_at_1,delta_final_vs_lambda05_pp,delta_final_vs_stage1_step80_pp,delta_best_vs_lambda05_best_pp,delta_best_vs_stage1_40_80_best_pp
Pure Stage1 beta=0.1,HumanEval+,150,70.1219512195122,115,70.73170731707317,6.097560975609751,2.4390243902438935,-9.146341463414643,2.4390243902438935
Pure Stage1 beta=0.1,MBPP+,150,67.72486772486772,85,69.57671957671958,15.07936507936507,-1.3227513227513255,-1.3227513227513144,0.5291005291005346
Pure Stage1 beta=0.1,LiveCodeBench,150,53.90625,90,59.375,17.96875,-1.5625,4.6875,3.90625
Stage2 P40 lambda=0.5,HumanEval+,80,64.02439024390245,70,79.8780487804878,0.0,-3.658536585365857,0.0,11.585365853658535
Stage2 P40 lambda=0.5,MBPP+,80,52.64550264550265,60,70.8994708994709,0.0,-16.402116402116395,0.0,1.851851851851849
Stage2 P40 lambda=0.5,LiveCodeBench,80,35.9375,45,54.6875,0.0,-19.53125,0.0,-0.78125
Stage2 P40 lambda=0.6,HumanEval+,100,19.51219512195122,75,78.65853658536585,-44.51219512195122,-48.170731707317074,-1.2195121951219523,10.365853658536583
Stage2 P40 lambda=0.6,MBPP+,100,35.714285714285715,60,70.1058201058201,-16.931216931216937,-33.33333333333333,-0.7936507936507908,1.0582010582010581
Stage2 P40 lambda=0.6,LiveCodeBench,100,3.90625,70,51.5625,-32.03125,-51.5625,-3.125,-3.90625
Stage2 P40 lambda=0.7,HumanEval+,100,46.95121951219512,80,76.21951219512195,-17.07317073170732,-20.731707317073177,-3.658536585365857,7.926829268292678
Stage2 P40 lambda=0.7,MBPP+,100,37.83068783068783,80,70.1058201058201,-14.81481481481482,-31.216931216931215,-0.7936507936507908,1.0582010582010581
Stage2 P40 lambda=0.7,LiveCodeBench,100,37.5,90,50.78125,1.5625,-17.96875,-3.90625,-4.6875
Stage2 P40 lambda=0.8,HumanEval+,100,72.5609756097561,80,72.5609756097561,8.536585365853655,4.8780487804877986,-7.317073170731714,4.2682926829268215
Stage2 P40 lambda=0.8,MBPP+,100,68.25396825396825,85,70.37037037037037,15.608465608465604,-0.7936507936507908,-0.5291005291005235,1.3227513227513255
Stage2 P40 lambda=0.8,LiveCodeBench,100,52.34375,80,52.34375,16.40625,-3.125,-2.34375,-3.125
Stage2 P40 lambda=0.9,HumanEval+,100,68.90243902439023,85,70.1219512195122,4.8780487804877986,1.2195121951219412,-9.756097560975618,1.8292682926829174
Stage2 P40 lambda=0.9,MBPP+,100,69.57671957671958,95,69.84126984126983,16.93121693121693,0.5291005291005346,-1.0582010582010581,0.7936507936507908
Stage2 P40 lambda=0.9,LiveCodeBench,100,59.375,100,59.375,23.4375,3.90625,4.6875,3.90625
