run,run_short,raw_step,effective_step,metric,value
Pure Stage1 beta=0.1,stage1,1,1,response length mean,379.16015625
Pure Stage1 beta=0.1,stage1,1,1,response clip ratio,0.025390625
Pure Stage1 beta=0.1,stage1,1,1,rollout correct ratio,0.49609375
Pure Stage1 beta=0.1,stage1,1,1,actor grad norm,38.47754669189453
Pure Stage1 beta=0.1,stage1,2,2,response length mean,378.298828125
Pure Stage1 beta=0.1,stage1,2,2,response clip ratio,0.015625
Pure Stage1 beta=0.1,stage1,2,2,rollout correct ratio,0.4296875
Pure Stage1 beta=0.1,stage1,2,2,actor grad norm,40.50734329223633
Pure Stage1 beta=0.1,stage1,3,3,response length mean,292.27734375
Pure Stage1 beta=0.1,stage1,3,3,response clip ratio,0.00390625
Pure Stage1 beta=0.1,stage1,3,3,rollout correct ratio,0.466796875
Pure Stage1 beta=0.1,stage1,3,3,actor grad norm,36.656368255615234
Pure Stage1 beta=0.1,stage1,4,4,response length mean,292.1875
Pure Stage1 beta=0.1,stage1,4,4,response clip ratio,0.009765625
Pure Stage1 beta=0.1,stage1,4,4,rollout correct ratio,0.501953125
Pure Stage1 beta=0.1,stage1,4,4,actor grad norm,35.406368255615234
Pure Stage1 beta=0.1,stage1,5,5,response length mean,320.0
Pure Stage1 beta=0.1,stage1,5,5,response clip ratio,0.01171875
Pure Stage1 beta=0.1,stage1,5,5,rollout correct ratio,0.50390625
Pure Stage1 beta=0.1,stage1,5,5,actor grad norm,39.31312942504883
Pure Stage1 beta=0.1,stage1,6,6,response length mean,241.861328125
Pure Stage1 beta=0.1,stage1,6,6,response clip ratio,0.0
Pure Stage1 beta=0.1,stage1,6,6,rollout correct ratio,0.490234375
Pure Stage1 beta=0.1,stage1,6,6,actor grad norm,40.080535888671875
Pure Stage1 beta=0.1,stage1,7,7,response length mean,351.931640625
Pure Stage1 beta=0.1,stage1,7,7,response clip ratio,0.009765625
Pure Stage1 beta=0.1,stage1,7,7,rollout correct ratio,0.384765625
Pure Stage1 beta=0.1,stage1,7,7,actor grad norm,40.681209564208984
Pure Stage1 beta=0.1,stage1,8,8,response length mean,301.435546875
Pure Stage1 beta=0.1,stage1,8,8,response clip ratio,0.0
Pure Stage1 beta=0.1,stage1,8,8,rollout correct ratio,0.521484375
Pure Stage1 beta=0.1,stage1,8,8,actor grad norm,34.55699157714844
Pure Stage1 beta=0.1,stage1,9,9,response length mean,280.666015625
Pure Stage1 beta=0.1,stage1,9,9,response clip ratio,0.00390625
Pure Stage1 beta=0.1,stage1,9,9,rollout correct ratio,0.408203125
Pure Stage1 beta=0.1,stage1,9,9,actor grad norm,40.20084762573242
Pure Stage1 beta=0.1,stage1,10,10,response length mean,285.66015625
Pure Stage1 beta=0.1,stage1,10,10,response clip ratio,0.001953125
Pure Stage1 beta=0.1,stage1,10,10,rollout correct ratio,0.533203125
Pure Stage1 beta=0.1,stage1,10,10,actor grad norm,32.09552764892578
Pure Stage1 beta=0.1,stage1,11,11,response length mean,329.302734375
Pure Stage1 beta=0.1,stage1,11,11,response clip ratio,0.001953125
Pure Stage1 beta=0.1,stage1,11,11,rollout correct ratio,0.474609375
Pure Stage1 beta=0.1,stage1,11,11,actor grad norm,39.30127716064453
Pure Stage1 beta=0.1,stage1,12,12,response length mean,277.154296875
Pure Stage1 beta=0.1,stage1,12,12,response clip ratio,0.001953125
Pure Stage1 beta=0.1,stage1,12,12,rollout correct ratio,0.421875
Pure Stage1 beta=0.1,stage1,12,12,actor grad norm,35.595027923583984
Pure Stage1 beta=0.1,stage1,13,13,response length mean,290.001953125
Pure Stage1 beta=0.1,stage1,13,13,response clip ratio,0.0
Pure Stage1 beta=0.1,stage1,13,13,rollout correct ratio,0.521484375
Pure Stage1 beta=0.1,stage1,13,13,actor grad norm,31.467571258544922
Pure Stage1 beta=0.1,stage1,14,14,response length mean,383.59375
Pure Stage1 beta=0.1,stage1,14,14,response clip ratio,0.01953125
Pure Stage1 beta=0.1,stage1,14,14,rollout correct ratio,0.443359375
Pure Stage1 beta=0.1,stage1,14,14,actor grad norm,46.64434814453125
Pure Stage1 beta=0.1,stage1,15,15,response length mean,308.9921875
Pure Stage1 beta=0.1,stage1,15,15,response clip ratio,0.00390625
Pure Stage1 beta=0.1,stage1,15,15,rollout correct ratio,0.48828125
Pure Stage1 beta=0.1,stage1,15,15,actor grad norm,34.70201873779297
Pure Stage1 beta=0.1,stage1,16,16,response length mean,358.30859375
Pure Stage1 beta=0.1,stage1,16,16,response clip ratio,0.0078125
Pure Stage1 beta=0.1,stage1,16,16,rollout correct ratio,0.51171875
Pure Stage1 beta=0.1,stage1,16,16,actor grad norm,33.92583465576172
Pure Stage1 beta=0.1,stage1,17,17,response length mean,327.314453125
Pure Stage1 beta=0.1,stage1,17,17,response clip ratio,0.001953125
Pure Stage1 beta=0.1,stage1,17,17,rollout correct ratio,0.568359375
Pure Stage1 beta=0.1,stage1,17,17,actor grad norm,29.49516487121582
Pure Stage1 beta=0.1,stage1,18,18,response length mean,336.95703125
Pure Stage1 beta=0.1,stage1,18,18,response clip ratio,0.0
Pure Stage1 beta=0.1,stage1,18,18,rollout correct ratio,0.44140625
Pure Stage1 beta=0.1,stage1,18,18,actor grad norm,37.77708435058594
Pure Stage1 beta=0.1,stage1,19,19,response length mean,347.443359375
Pure Stage1 beta=0.1,stage1,19,19,response clip ratio,0.013671875
Pure Stage1 beta=0.1,stage1,19,19,rollout correct ratio,0.48828125
Pure Stage1 beta=0.1,stage1,19,19,actor grad norm,35.337196350097656
Pure Stage1 beta=0.1,stage1,20,20,response length mean,251.4921875
Pure Stage1 beta=0.1,stage1,20,20,response clip ratio,0.0
Pure Stage1 beta=0.1,stage1,20,20,rollout correct ratio,0.58984375
Pure Stage1 beta=0.1,stage1,20,20,actor grad norm,28.824234008789062
Pure Stage1 beta=0.1,stage1,21,21,response length mean,415.0390625
Pure Stage1 beta=0.1,stage1,21,21,response clip ratio,0.015625
Pure Stage1 beta=0.1,stage1,21,21,rollout correct ratio,0.388671875
