family,beta,step,metric,value,source_run
Cold-start 100%,0.0,0,HumanEval+,0.5,ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854
Cold-start 100%,0.0,5,HumanEval+,0.5060975609756098,ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854
Cold-start 100%,0.0,10,HumanEval+,0.47560975609756095,ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854
Cold-start 100%,0.0,15,HumanEval+,0.4817073170731707,ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854
Cold-start 100%,0.0,20,HumanEval+,0.5,ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854
Cold-start 100%,0.0,25,HumanEval+,0.4878048780487805,ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854
Cold-start 100%,0.0,30,HumanEval+,0.45121951219512196,ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854
Cold-start 100%,0.0,35,HumanEval+,0.47560975609756095,ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854
Cold-start 100%,0.0,40,HumanEval+,0.5,ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854
Cold-start 100%,0.0,45,HumanEval+,0.47560975609756095,ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854
Cold-start 100%,0.0,50,HumanEval+,0.5,ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854
Cold-start 100%,0.0,55,HumanEval+,0.4573170731707317,ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854
Cold-start 100%,0.0,60,HumanEval+,0.4817073170731707,ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854
Cold-start 100%,0.0,65,HumanEval+,0.4817073170731707,ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854
Cold-start 100%,0.0,70,HumanEval+,0.5060975609756098,ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854
Cold-start 100%,0.0,75,HumanEval+,0.5060975609756098,ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854
Cold-start 100%,0.0,80,HumanEval+,0.5121951219512195,ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854
Cold-start 100%,0.0,85,HumanEval+,0.5060975609756098,ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854
