run_name,fraction,fraction_pct,beta,beta_key,step,metric,key,value
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC25-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783416222,25%,25,beta=0.0,beta0,0,HumanEval+ pass@1,val-core/HumanEval+/acc/pass@1,0.4634146341463415
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC25-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783416222,25%,25,beta=0.0,beta0,0,MBPP+ pass@1,val-core/MBPP+/acc/pass@1,0.4656084656084656
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC25-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783416222,25%,25,beta=0.0,beta0,0,LiveCodeBench pass@1,val-core/LiveCodeBench/acc/pass@1,0.2109375
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC25-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783416222,25%,25,beta=0.0,beta0,0,HumanEval+ extract fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.006097560975609756
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC25-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783416222,25%,25,beta=0.0,beta0,0,MBPP+ extract fail,val-aux/MBPP+/code_reward_extraction_fail/mean@1,0.005291005291005291
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC25-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783416222,25%,25,beta=0.0,beta0,0,LiveCodeBench extract fail,val-aux/LiveCodeBench/code_reward_extraction_fail/mean@1,0.0390625
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC25-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783416222,25%,25,beta=0.0,beta0,1,Rollout correct ratio,wdl_sft/correct_ratio,0.349609375
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC25-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783416222,25%,25,beta=0.0,beta0,1,Gradient norm,actor/grad_norm,11.009403228759766
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC25-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783416222,25%,25,beta=0.0,beta0,1,Train score mean,critic/score/mean,-0.30078125
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC25-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783416222,25%,25,beta=0.0,beta0,1,Response length mean,response_length/mean,163.28125
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC25-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783416222,25%,25,beta=0.0,beta0,1,Time per step,perf/time_per_step,45.41698690317571
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC25-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783416222,25%,25,beta=0.0,beta0,2,Rollout correct ratio,wdl_sft/correct_ratio,0.361328125
