run_name,fraction,fraction_pct,beta,metric,best_step,best_value,final_value,delta_final_minus_best
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC25-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783416222,25%,25,beta=0.0,HumanEval+ pass@1,140,0.5121951219512195,0.4878048780487805,-0.024390243902439046
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC25-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783416222,25%,25,beta=0.0,MBPP+ pass@1,85,0.5079365079365079,0.49206349206349204,-0.015873015873015872
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC25-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783416222,25%,25,beta=0.0,LiveCodeBench pass@1,140,0.2421875,0.21875,-0.0234375
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC25-CODE-KODCODE-CTX8K-S1-BETA01-V1_1783425947,25%,25,beta=0.1,HumanEval+ pass@1,130,0.524390243902439,0.4878048780487805,-0.03658536585365857
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC25-CODE-KODCODE-CTX8K-S1-BETA01-V1_1783425947,25%,25,beta=0.1,MBPP+ pass@1,120,0.5132275132275133,0.4947089947089947,-0.018518518518518545
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC25-CODE-KODCODE-CTX8K-S1-BETA01-V1_1783425947,25%,25,beta=0.1,LiveCodeBench pass@1,70,0.2578125,0.21875,-0.0390625
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC50-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783435522,50%,50,beta=0.0,HumanEval+ pass@1,85,0.5365853658536586,0.5060975609756098,-0.030487804878048808
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC50-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783435522,50%,50,beta=0.0,MBPP+ pass@1,145,0.5634920634920635,0.5502645502645502,-0.013227513227513255
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC50-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783435522,50%,50,beta=0.0,LiveCodeBench pass@1,0,0.2265625,0.1953125,-0.03125
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC50-CODE-KODCODE-CTX8K-S1-BETA01-V1_1783444888,50%,50,beta=0.1,HumanEval+ pass@1,90,0.524390243902439,0.5121951219512195,-0.012195121951219523
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC50-CODE-KODCODE-CTX8K-S1-BETA01-V1_1783444888,50%,50,beta=0.1,MBPP+ pass@1,90,0.5661375661375662,0.5317460317460317,-0.03439153439153442
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-FRAC50-CODE-KODCODE-CTX8K-S1-BETA01-V1_1783444888,50%,50,beta=0.1,LiveCodeBench pass@1,45,0.2109375,0.1796875,-0.03125
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854,100%,100,beta=0.0,HumanEval+ pass@1,100,0.5182926829268293,0.5,-0.018292682926829285
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854,100%,100,beta=0.0,MBPP+ pass@1,0,0.5264550264550265,0.5158730158730159,-0.010582010582010581
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA0-V1_1783319854,100%,100,beta=0.0,LiveCodeBench pass@1,145,0.1875,0.1484375,-0.0390625
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA01-V1_1783329189,100%,100,beta=0.1,HumanEval+ pass@1,115,0.524390243902439,0.5,-0.024390243902439046
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA01-V1_1783329189,100%,100,beta=0.1,MBPP+ pass@1,35,0.5264550264550265,0.5264550264550265,0.0
ONPOLICY-SFT-Qwen3-1P7B-COLDSTART-CODE-KODCODE-CTX8K-S1-BETA01-V1_1783329189,100%,100,beta=0.1,LiveCodeBench pass@1,140,0.1953125,0.15625,-0.0390625
