run,run_short,step,metric,key,value
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,0,HumanEval+,val-core/HumanEval+/acc/pass@1,0.5
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,0,MBPP+,val-core/MBPP+/acc/pass@1,0.5264550264550265
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,0,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.171875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,0,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.0
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,1,Rollout correct ratio,wdl_sft/correct_ratio,0.435546875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,1,Gradient norm,actor/grad_norm,7.5032124519348145
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,2,Rollout correct ratio,wdl_sft/correct_ratio,0.45703125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,2,Gradient norm,actor/grad_norm,7.083032131195068
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,3,Rollout correct ratio,wdl_sft/correct_ratio,0.466796875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,3,Gradient norm,actor/grad_norm,7.2145280838012695
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,4,Rollout correct ratio,wdl_sft/correct_ratio,0.396484375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,4,Gradient norm,actor/grad_norm,7.940150737762451
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,5,HumanEval+,val-core/HumanEval+/acc/pass@1,0.5060975609756098
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,5,MBPP+,val-core/MBPP+/acc/pass@1,0.48677248677248675
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,5,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.1484375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,5,Rollout correct ratio,wdl_sft/correct_ratio,0.43359375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,5,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.0
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,5,Gradient norm,actor/grad_norm,7.476863384246826
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,6,Rollout correct ratio,wdl_sft/correct_ratio,0.400390625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,6,Gradient norm,actor/grad_norm,9.046965599060059
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,7,Rollout correct ratio,wdl_sft/correct_ratio,0.33203125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,7,Gradient norm,actor/grad_norm,9.422863006591797
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,8,Rollout correct ratio,wdl_sft/correct_ratio,0.4453125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,8,Gradient norm,actor/grad_norm,7.745241641998291
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,9,Rollout correct ratio,wdl_sft/correct_ratio,0.37890625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,9,Gradient norm,actor/grad_norm,9.815751075744629
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,10,HumanEval+,val-core/HumanEval+/acc/pass@1,0.47560975609756095
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,10,MBPP+,val-core/MBPP+/acc/pass@1,0.4947089947089947
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,10,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.15625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,10,Rollout correct ratio,wdl_sft/correct_ratio,0.490234375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,10,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.018292682926829267
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,10,Gradient norm,actor/grad_norm,7.190329074859619
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,11,Rollout correct ratio,wdl_sft/correct_ratio,0.341796875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,11,Gradient norm,actor/grad_norm,10.021507263183594
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,12,Rollout correct ratio,wdl_sft/correct_ratio,0.36328125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,12,Gradient norm,actor/grad_norm,8.226090431213379
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,13,Rollout correct ratio,wdl_sft/correct_ratio,0.375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,13,Gradient norm,actor/grad_norm,10.18044376373291
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,14,Rollout correct ratio,wdl_sft/correct_ratio,0.462890625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,14,Gradient norm,actor/grad_norm,8.868290901184082
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,15,HumanEval+,val-core/HumanEval+/acc/pass@1,0.4817073170731707
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,15,MBPP+,val-core/MBPP+/acc/pass@1,0.5052910052910053
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,15,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.140625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,15,Rollout correct ratio,wdl_sft/correct_ratio,0.44921875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,15,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.012195121951219513
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,15,Gradient norm,actor/grad_norm,7.5871076583862305
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,16,Rollout correct ratio,wdl_sft/correct_ratio,0.44921875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,16,Gradient norm,actor/grad_norm,9.170422554016113
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,17,Rollout correct ratio,wdl_sft/correct_ratio,0.45703125
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,17,Gradient norm,actor/grad_norm,8.128324508666992
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,18,Rollout correct ratio,wdl_sft/correct_ratio,0.359375
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,18,Gradient norm,actor/grad_norm,9.082027435302734
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,19,Rollout correct ratio,wdl_sft/correct_ratio,0.419921875
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,19,Gradient norm,actor/grad_norm,7.801157474517822
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,20,HumanEval+,val-core/HumanEval+/acc/pass@1,0.5
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,20,MBPP+,val-core/MBPP+/acc/pass@1,0.5185185185185185
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,20,LiveCodeBench,val-core/LiveCodeBench/acc/pass@1,0.1640625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,20,Rollout correct ratio,wdl_sft/correct_ratio,0.416015625
Cold-start 1.7B Stage1 $\beta=0.0$,beta0,20,HumanEval+ extraction fail,val-aux/HumanEval+/code_reward_extraction_fail/mean@1,0.006097560975609756
