arm,label,dataset,n_prompts,truncation_rate,format_contract_success_rate,mean_unique_prediction_count,pass_at_1,maj_at_1,pass_at_2,maj_at_2,pass_at_4,maj_at_4,pass_at_8,maj_at_8,pass_at_16,maj_at_16,pass_at_32,maj_at_32,pass_at_64,maj_at_64,pass_at_128,maj_at_128,pass_at_256,maj_at_256
cs0,Cold Start (CS0),ChilleD/SVAMP,300,0.029192708333333334,0.9032942708333334,23.976666666666667,0.5898046874999998,0.5893666666666667,0.7618968545751632,0.6396333333333333,0.875013939164334,0.7389166666666667,0.9365194397723686,0.80915,0.9684201257026877,0.8407166666666667,0.984536316839553,0.8574833333333334,0.9924914634601472,0.8660166666666667,0.9965238737796627,0.8720666666666667,1.0,0.8766666666666667
cs0,Cold Start (CS0),HuggingFaceH4/MATH-500,500,0.118578125,0.8316640625,52.554,0.24308593749999988,0.24248,0.35745098039215667,0.26672,0.47407923690608483,0.32227,0.5820930857544934,0.37687,0.6782913055592019,0.41581999999999997,0.7581841222701602,0.44090999999999997,0.8188113140470502,0.45629000000000003,0.8634107819743987,0.46343999999999996,0.896,0.468
cs0,Cold Start (CS0),aime25,30,0.32981770833333335,0.6563802083333333,92.86666666666666,0.0016927083333333334,0.0013333333333333333,0.0033721405228758143,0.0016666666666666668,0.006691657993532592,0.0023333333333333335,0.01317662277703158,0.0023333333333333335,0.025556023920051147,0.0018333333333333333,0.04814644386416746,0.0031666666666666666,0.0860171137640578,0.0021666666666666666,0.14076364669715052,0.0003333333333333333,0.2,0.0
cs0,Cold Start (CS0),deepmind/aqua_rat,254,0.061208169291338585,0.8782603346456693,26.20472440944882,0.24397145669291323,0.24043307086614174,0.39328561641191884,0.26787401574803155,0.5667139834679287,0.3162204724409449,0.7271361575513281,0.3699015748031496,0.8486232580754535,0.4121456692913386,0.9274855881430388,0.43673228346456683,0.9712115512129224,0.45273622047244094,0.989038794820695,0.4641929133858268,0.9960629921259843,0.468503937007874
cs0,Cold Start (CS0),mwpt5/MAWPS,355,0.027420774647887326,0.904456426056338,13.335211267605635,0.7436069542253522,0.744056338028169,0.8923256697045013,0.8071971830985916,0.9499576700518954,0.8924507042253522,0.9649952583719157,0.9270281690140846,0.9691222882297892,0.9393521126760562,0.971570278709808,0.9444647887323943,0.9737581078544622,0.9471126760563381,0.9756880193693109,0.9484788732394366,0.9774647887323944,0.9549295774647887
cs0,Cold Start (CS0),openai/gsm8k,1319,0.03809704321455648,0.9074819939347991,40.98180439727066,0.39176814821834705,0.3906444275966641,0.5622935759785337,0.4208377558756634,0.7094250696347348,0.5184306292645944,0.8139057655825462,0.6080439727065959,0.883590618376331,0.6596702047005307,0.9295302915098881,0.6876838514025777,0.9586632431074122,0.7036618650492799,0.976386160841785,0.7125928733889311,0.9871114480667172,0.7149355572403336
cs0,Cold Start (CS0),zwhe99/amc23,40,0.16669921875,0.808984375,59.925,0.07646484374999991,0.0715,0.13295496323529393,0.081875,0.21188368643553873,0.106125,0.307032334480198,0.145625,0.4118496669893859,0.17687499999999998,0.5265644535886882,0.196625,0.6504465204176633,0.21399999999999997,0.7656791561397671,0.22537500000000002,0.85,0.225
c_p60,C P60,ChilleD/SVAMP,300,6.510416666666667e-05,0.9991015625,1.7933333333333332,0.9315104166666667,0.9300833333333333,0.9497309027777777,0.9303166666666666,0.9572076386435189,0.9414666666666667,0.961508933291041,0.9453333333333334,0.9647163126976721,0.9461833333333334,0.967938683926177,0.9465333333333334,0.9712944444185846,0.9468833333333333,0.9741086243943474,0.9467833333333334,0.9766666666666667,0.9466666666666667
c_p60,C P60,HuggingFaceH4/MATH-500,500,0.1221328125,0.8748828125,4.612,0.786421875,0.7856199999999999,0.8516220588235294,0.8144300000000001,0.8922233062787999,0.8526099999999999,0.9182628628312361,0.87076,0.9359805723759695,0.87981,0.9495627573509436,0.8854200000000001,0.9601185105201896,0.88952,0.9674743617826971,0.89192,0.972,0.894
c_p60,C P60,aime25,30,0.7131510416666667,0.28684895833333335,8.266666666666667,0.17434895833333328,0.17366666666666666,0.2151491013071895,0.19499999999999998,0.24766403379455795,0.23366666666666666,0.277748533803391,0.2615,0.3048588700546367,0.2861666666666667,0.32624703105046715,0.3046666666666667,0.35059385073218413,0.3138333333333333,0.38758169933406994,0.3206666666666667,0.43333333333333335,0.3333333333333333
c_p60,C P60,deepmind/aqua_rat,254,0.06799028051181102,0.927242249015748,2.456692913385827,0.7843719242125984,0.7840157480314961,0.8403413038443723,0.8033464566929134,0.8763790282935425,0.8269488188976377,0.9030010891745855,0.8388779527559055,0.9231436472496422,0.8426771653543308,0.9402994640483182,0.8443897637795276,0.9549888921446167,0.8445669291338583,0.9649641918833898,0.843503937007874,0.968503937007874,0.84251968503937
c_p60,C P60,mwpt5/MAWPS,355,6.602112676056337e-05,0.9999119718309859,1.4281690140845071,0.9513424295774648,0.9508591549295773,0.9603747238331953,0.9509154929577465,0.9649822207359129,0.9559014084507043,0.9675444474564018,0.9582394366197183,0.9690397592972428,0.9596760563380282,0.9702200008249392,0.9609154929577465,0.971164422424089,0.9622394366197182,0.9717463881627192,0.9630422535211267,0.971830985915493,0.9633802816901409
c_p60,C P60,openai/gsm8k,1319,0.0024491802501895375,0.9974827047005307,3.189537528430629,0.8696899876800607,0.8697725549658832,0.9139510537914938,0.8703866565579984,0.9375830057173808,0.8935405610310841,0.9510983305148115,0.9023768006065201,0.9598023942683418,0.9068195602729339,0.9661222173485784,0.9097990902198636,0.9713823468925872,0.9111978771796815,0.9757168804381122,0.9122175890826383,0.9787717968157695,0.9112964366944655
c_p60,C P60,zwhe99/amc23,40,0.33662109375,0.66337890625,5.975,0.54052734375,0.537125,0.6232077205882351,0.587375,0.6997070307136501,0.6445000000000001,0.7707649792092526,0.68625,0.8247518488330343,0.7266250000000001,0.8646446666500835,0.748875,0.8950556365551275,0.7665,0.9154871071053201,0.782625,0.925,0.775
