id,run,phase,beta,kl,view,offset,log,first_local_step,final_local_step,first_macro_mean3,final_macro_mean3,delta_mean3,best_local_step,best_effective_step,best_macro_mean3,first_macro_pass3,final_macro_pass3,delta_pass3,best_macro_pass3
b0-stage1,MATH-B0_STAGE1-QWEN3-1P7B-V1_1784539170,stage1,0.0,na,model2-init,0,/data-1/tmp/verl_agent_scratch/math_stage123_step20_lr1e6_mem055_entropyoff_launch_20260720T091917Z/recipe/on_policy_wdl_sft/staged_v1/MATH-B0_STAGE1-QWEN3-1P7B-V1_1784539170.log,0,40,0.3867152428904169,0.4224900086164301,0.03577476572601318,40,40,0.4224900086164301,0.4912877998145654,0.5366194155440651,0.04533161572949973,0.5366194155440651
b01-stage1,MATH-B01_STAGE1-QWEN3-1P7B-V1_1784549110,stage1,0.1,na,model2-init,0,/data-1/tmp/verl_agent_scratch/math_stage123_step20_lr1e6_mem055_entropyoff_launch_20260720T091917Z/recipe/on_policy_wdl_sft/staged_v1/MATH-B01_STAGE1-QWEN3-1P7B-V1_1784549110.log,0,40,0.3846851184450726,0.41474483882359625,0.03005972037852367,40,40,0.41474483882359625,0.4916140570205655,0.5235751463854307,0.03196108936486519,0.5318863149772095
b0-stage1-control,MATH-B0_STAGE1_CONTROL-QWEN3-1P7B-V1_1784558992,stage1_control,0.0,control,single,40,/data-1/tmp/verl_agent_scratch/math_stage123_step20_lr1e6_mem055_entropyoff_launch_20260720T091917Z/recipe/on_policy_wdl_sft/staged_v1/MATH-B0_STAGE1_CONTROL-QWEN3-1P7B-V1_1784558992.log,0,60,0.4247857269201353,0.6634641049080231,0.23867837798788782,55,95,0.6770140056190305,0.5335599701863931,0.7462453289868531,0.21268535880046002,0.7493569660712562
b01-stage1-control,MATH-B01_STAGE1_CONTROL-QWEN3-1P7B-V1_1784573526,stage1_control,0.1,control,single,40,/data-1/tmp/verl_agent_scratch/math_stage123_step20_lr1e6_mem055_entropyoff_launch_20260720T091917Z/recipe/on_policy_wdl_sft/staged_v1/MATH-B01_STAGE1_CONTROL-QWEN3-1P7B-V1_1784573526.log,0,60,0.4101255972343358,0.682358138930266,0.2722325416959302,60,100,0.682358138930266,0.5281021961160787,0.7432720492827574,0.2151698531666787,0.7507132895543586
b0-stage2-nokl,MATH-B0_STAGE2_NOKL-QWEN3-1P7B-V1_1784598681,stage2,0.0,nokl,default,40,/data-2/model_weights/math_task/qwen3_1p7b_stage123_cotmask_v3/launches/20260721T013450Z-resume-b0-stage2/stage123_queue.log,0,20,0.4175704622028859,0.4313515251440125,0.013781062941126576,20,60,0.4313515251440125,0.5267659034510443,0.5455419462422351,0.018776042791190717,0.5455419462422351
b0-stage2-m2kl,MATH-B0_STAGE2_M2KL-QWEN3-1P7B-V1_1784615452,stage2,0.0,m2kl,default,40,/data-2/model_weights/math_task/qwen3_1p7b_stage123_cotmask_v3/launches/20260721T062805Z-resume-b0-stage2-m2kl/run_attempt_logs/b0-stage2-m2kl.attempt-1.log,0,20,0.42115483743893156,0.43407120192665344,0.012916364487721876,20,60,0.43407120192665344,0.5425615886331377,0.5572233425978388,0.01466175396470104,0.5572233425978388
b01-stage2-nokl,MATH-B01_STAGE2_NOKL-QWEN3-1P7B-V1_1784621388,stage2,0.1,nokl,default,40,/data-2/model_weights/math_task/qwen3_1p7b_stage123_cotmask_v3/launches/20260721T062805Z-resume-b0-stage2-m2kl/run_attempt_logs/b01-stage2-nokl.attempt-1.log,0,20,0.4153730467025653,0.41096553055576635,-0.004407516146798962,15,55,0.4171635415631378,0.5376454614812523,0.5369905072957685,-0.0006549541854837804,0.5410378065304137
b01-stage2-m2kl,MATH-B01_STAGE2_M2KL-QWEN3-1P7B-V1_1784627013,stage2,0.1,m2kl,default,40,/data-2/model_weights/math_task/qwen3_1p7b_stage123_cotmask_v3/launches/20260721T062805Z-resume-b0-stage2-m2kl/run_attempt_logs/b01-stage2-m2kl.attempt-2.log,0,20,0.4115117751872658,0.4202082439357926,0.008696468748526809,10,50,0.420362501234904,0.5243974860156533,0.5335953570244498,0.009197871008796543,0.5454180946078392
b0-stage3-nokl-model1,MATH-B0_STAGE3_NOKL_MODEL1-QWEN3-1P7B-V1_1784636513,stage3,0.0,nokl,model1,60,/data-2/model_weights/math_task/qwen3_1p7b_stage123_cotmask_v3/launches/20260721T121155Z-resume-b01-stage3/run_attempt_logs/b0-stage3-nokl-model1.attempt-1.log,0,40,0.4097529622866337,0.5702869807373635,0.1605340184507298,40,100,0.5702869807373635,0.5224021769963968,0.6862776417321707,0.16387546473577386,0.6862776417321707
b0-stage3-nokl-model2,MATH-B0_STAGE3_NOKL_MODEL2-QWEN3-1P7B-V1_1784646024,stage3,0.0,nokl,model2,60,/data-2/model_weights/math_task/qwen3_1p7b_stage123_cotmask_v3/launches/20260721T121155Z-resume-b01-stage3/run_attempt_logs/b0-stage3-nokl-model2.attempt-1.log,0,40,0.44431752071719594,0.6852570752619738,0.24093955454477783,40,100,0.6852570752619738,0.5655376330721431,0.7623667981774421,0.19682916510529902,0.7623667981774421
