phase,local_step,effective_step,rows,mean_level,level4plus_rate,level5_rate,mean_question_chars,mean_solution_chars,mean_question_tokens_proxy,mean_solution_tokens_proxy,subject_entropy,subject_algebra_rate,subject_intermediate_algebra_rate,subject_geometry_rate,subject_number_theory_rate,subject_precalculus_rate,subject_prealgebra_rate,subject_counting_probability_rate
stage2,1,41,64,3.328125,0.46875,0.28125,203.796875,540.96875,75.734375,223.265625,1.8957839621768342,0.21875,0.203125,0.140625,0.125,0.125,0.09375,0.09375
stage2,2,42,64,3.6875,0.625,0.359375,191.078125,501.8125,71.90625,218.890625,1.8895627444014755,0.21875,0.15625,0.15625,0.109375,0.09375,0.1875,0.078125
stage2,3,43,64,3.6875,0.59375,0.421875,185.40625,605.765625,65.734375,262.828125,1.8611319928097196,0.171875,0.1875,0.234375,0.15625,0.078125,0.109375,0.0625
stage2,4,44,64,3.6875,0.609375,0.375,221.234375,619.0,87.453125,259.59375,1.8106381640839933,0.265625,0.234375,0.15625,0.0625,0.125,0.09375,0.0625
stage2,5,45,64,3.421875,0.484375,0.265625,173.875,498.484375,62.265625,202.125,1.804016112833678,0.25,0.203125,0.0625,0.203125,0.0625,0.0625,0.15625
stage2,6,46,64,3.625,0.578125,0.34375,182.90625,518.0625,67.4375,221.703125,1.801477867446427,0.296875,0.21875,0.109375,0.125,0.0625,0.125,0.0625
stage2,7,47,64,3.46875,0.515625,0.34375,209.640625,550.640625,82.78125,240.125,1.8795090846208908,0.21875,0.203125,0.109375,0.0625,0.109375,0.15625,0.140625
stage2,8,48,64,3.484375,0.515625,0.28125,221.265625,649.6875,72.828125,270.953125,1.9002800165702343,0.25,0.109375,0.140625,0.140625,0.109375,0.140625,0.109375
stage2,9,49,64,3.625,0.59375,0.328125,232.203125,516.5,90.859375,228.03125,1.7671111614526098,0.296875,0.171875,0.109375,0.078125,0.03125,0.21875,0.09375
stage2,10,50,64,3.4375,0.46875,0.3125,208.609375,536.078125,72.703125,208.484375,1.8375038010362628,0.21875,0.140625,0.125,0.09375,0.0625,0.265625,0.09375
stage2,11,51,64,3.515625,0.53125,0.265625,201.484375,495.65625,84.546875,220.28125,1.8948120299086992,0.21875,0.109375,0.1875,0.125,0.09375,0.171875,0.09375
stage2,12,52,64,3.703125,0.625,0.328125,203.40625,491.25,78.84375,196.46875,1.8265681578257964,0.3125,0.125,0.09375,0.140625,0.0625,0.109375,0.15625
stage2,13,53,64,3.671875,0.59375,0.359375,237.5625,569.5,98.203125,235.625,1.8302435239980637,0.234375,0.234375,0.171875,0.078125,0.0625,0.140625,0.078125
stage2,14,54,64,3.578125,0.578125,0.296875,179.140625,598.984375,61.0625,257.265625,1.8692669559584973,0.25,0.203125,0.09375,0.125,0.109375,0.140625,0.078125
stage2,15,55,64,3.4375,0.5,0.296875,196.578125,537.265625,73.421875,229.25,1.8245053571648397,0.328125,0.140625,0.078125,0.09375,0.125,0.109375,0.125
stage2,16,56,64,3.53125,0.546875,0.28125,200.546875,526.234375,74.421875,213.765625,1.8706580263390522,0.234375,0.140625,0.140625,0.0625,0.125,0.203125,0.09375
stage2,17,57,64,3.734375,0.578125,0.375,203.4375,601.953125,85.921875,257.15625,1.8495155202587645,0.21875,0.234375,0.125,0.140625,0.09375,0.140625,0.046875
stage2,18,58,64,3.5625,0.484375,0.34375,191.96875,625.28125,64.640625,248.578125,1.7930635385337252,0.296875,0.15625,0.046875,0.109375,0.0625,0.203125,0.125
stage2,19,59,64,3.65625,0.640625,0.375,221.109375,694.109375,80.640625,291.15625,1.9113781458089787,0.171875,0.15625,0.125,0.125,0.078125,0.203125,0.140625
stage2,20,60,64,3.625,0.53125,0.328125,265.921875,621.6875,107.265625,275.15625,1.749681571854933,0.1875,0.3125,0.140625,0.046875,0.03125,0.171875,0.109375
stage3,1,61,64,3.609375,0.578125,0.34375,215.796875,506.125,74.34375,197.484375,1.7893053262045704,0.234375,0.15625,0.171875,0.078125,0.015625,0.21875,0.125
stage3,2,62,64,3.5,0.53125,0.265625,201.9375,476.34375,76.375,204.703125,1.8070704793408592,0.25,0.1875,0.109375,0.09375,0.078125,0.234375,0.046875
stage3,3,63,64,3.515625,0.5625,0.296875,227.625,579.578125,91.6875,234.546875,1.8912020752693586,0.234375,0.15625,0.09375,0.078125,0.15625,0.15625,0.125
stage3,4,64,64,3.265625,0.5,0.25,213.890625,491.15625,84.0,203.046875,1.8668945257835934,0.171875,0.234375,0.09375,0.1875,0.078125,0.15625,0.078125
stage3,5,65,64,3.265625,0.40625,0.265625,206.859375,592.90625,79.90625,255.265625,1.82333068606948,0.21875,0.203125,0.21875,0.046875,0.109375,0.140625,0.0625
stage3,6,66,64,3.515625,0.546875,0.34375,189.90625,569.125,62.640625,227.4375,1.899539263253803,0.171875,0.21875,0.09375,0.171875,0.09375,0.140625,0.109375
stage3,7,67,64,3.421875,0.484375,0.296875,173.90625,516.515625,65.71875,212.96875,1.8806668580595807,0.265625,0.171875,0.09375,0.125,0.125,0.109375,0.109375
stage3,8,68,64,3.359375,0.46875,0.265625,249.125,544.734375,100.890625,215.640625,1.8568128267604365,0.28125,0.078125,0.15625,0.078125,0.140625,0.140625,0.125
stage3,9,69,64,3.59375,0.5625,0.28125,249.359375,581.25,98.25,239.4375,1.874980500356338,0.25,0.171875,0.171875,0.078125,0.125,0.09375,0.109375
stage3,10,70,64,3.78125,0.625,0.359375,187.1875,569.296875,69.609375,235.390625,1.7651849717146144,0.3125,0.234375,0.046875,0.078125,0.078125,0.125,0.125
stage3,11,71,64,3.546875,0.546875,0.28125,263.84375,474.765625,101.6875,194.734375,1.874949153145763,0.234375,0.1875,0.125,0.09375,0.0625,0.140625,0.15625
stage3,12,72,64,3.390625,0.484375,0.28125,233.96875,521.453125,90.875,200.234375,1.9274351039892819,0.203125,0.140625,0.15625,0.140625,0.125,0.125,0.109375
stage3,13,73,64,3.578125,0.515625,0.390625,196.375,560.65625,70.0625,233.8125,1.6973742846322035,0.25,0.359375,0.078125,0.109375,0.046875,0.078125,0.078125
stage3,14,74,64,3.46875,0.515625,0.3125,233.140625,588.9375,83.203125,239.421875,1.8946831064279646,0.21875,0.078125,0.125,0.171875,0.140625,0.171875,0.09375
stage3,15,75,64,3.3125,0.484375,0.265625,219.71875,518.375,88.609375,223.0,1.8997561765305564,0.234375,0.15625,0.140625,0.09375,0.125,0.15625,0.09375
stage3,16,76,64,3.296875,0.4375,0.21875,236.390625,541.890625,97.546875,229.171875,1.8395199396125113,0.296875,0.1875,0.109375,0.09375,0.078125,0.125,0.109375
stage3,17,77,64,3.5625,0.484375,0.328125,184.34375,575.015625,63.921875,232.3125,1.8119394567909717,0.265625,0.171875,0.03125,0.1875,0.125,0.140625,0.078125
stage3,18,78,64,3.53125,0.46875,0.296875,171.578125,545.09375,64.0625,228.71875,1.7793653712864221,0.28125,0.265625,0.0625,0.109375,0.09375,0.125,0.0625
stage3,19,79,64,4.171875,0.796875,0.5,219.328125,594.625,76.171875,250.46875,1.8066417213214818,0.296875,0.15625,0.125,0.09375,0.03125,0.15625,0.140625
stage3,20,80,64,3.5625,0.484375,0.34375,212.9375,502.9375,76.453125,202.65625,1.8239066780660207,0.234375,0.109375,0.09375,0.109375,0.078125,0.28125,0.09375
stage3,21,81,64,3.28125,0.453125,0.265625,161.640625,480.5625,60.96875,202.421875,1.8014961474616813,0.125,0.25,0.0625,0.171875,0.078125,0.25,0.0625
stage3,22,82,64,3.859375,0.65625,0.359375,200.0,640.265625,81.484375,271.59375,1.8297495468265028,0.28125,0.203125,0.09375,0.09375,0.109375,0.15625,0.0625
stage3,23,83,64,3.578125,0.546875,0.34375,222.15625,590.140625,78.140625,253.359375,1.8894696587598965,0.21875,0.203125,0.125,0.109375,0.109375,0.15625,0.078125
stage3,24,84,64,3.4375,0.453125,0.296875,238.765625,515.53125,91.546875,196.46875,1.829812914187138,0.234375,0.125,0.09375,0.140625,0.046875,0.25,0.109375
stage3,25,85,64,3.2857142857142856,0.421875,0.21875,173.390625,492.65625,65.796875,201.828125,1.8877464163502893,0.15625,0.125,0.109375,0.15625,0.125,0.25,0.078125
stage3,26,86,64,3.6875,0.578125,0.3125,193.15625,513.640625,69.6875,204.765625,1.8402266764001611,0.3125,0.125,0.078125,0.125,0.09375,0.140625,0.125
stage3,27,87,64,3.265625,0.46875,0.203125,177.984375,479.40625,66.734375,189.9375,1.8602926928722288,0.25,0.109375,0.09375,0.1875,0.0625,0.171875,0.125
stage3,28,88,64,3.4285714285714284,0.46875,0.25,183.96875,503.59375,63.328125,207.265625,1.8727708724590897,0.109375,0.109375,0.09375,0.09375,0.15625,0.265625,0.171875
stage3,29,89,64,3.65625,0.578125,0.296875,215.03125,502.390625,87.015625,199.9375,1.833447491261862,0.28125,0.203125,0.125,0.09375,0.09375,0.140625,0.0625
stage3,30,90,64,3.375,0.515625,0.28125,213.765625,583.4375,83.796875,239.5,1.8852716175947648,0.21875,0.140625,0.15625,0.078125,0.109375,0.203125,0.09375
stage3,31,91,64,3.53125,0.53125,0.375,206.6875,474.484375,82.0625,193.5625,1.9008377619843368,0.234375,0.140625,0.125,0.140625,0.078125,0.125,0.15625
stage3,32,92,64,3.4375,0.5,0.3125,195.84375,637.671875,64.4375,264.375,1.8437476990585868,0.296875,0.109375,0.0625,0.15625,0.125,0.140625,0.109375
stage3,33,93,64,3.4375,0.546875,0.28125,179.96875,523.234375,63.90625,213.6875,1.7071310962313333,0.359375,0.1875,0.078125,0.109375,0.03125,0.171875,0.0625
stage3,34,94,64,3.25,0.46875,0.25,194.125,483.578125,71.015625,197.6875,1.9174448115693323,0.203125,0.140625,0.1875,0.125,0.125,0.109375,0.109375
stage3,35,95,64,3.25,0.46875,0.265625,163.09375,496.390625,58.828125,203.234375,1.8684536654520412,0.1875,0.140625,0.0625,0.1875,0.125,0.21875,0.078125
stage3,36,96,64,3.3125,0.46875,0.21875,192.234375,455.90625,72.328125,192.21875,1.8600710265767963,0.265625,0.1875,0.078125,0.125,0.078125,0.125,0.140625
stage3,37,97,64,3.28125,0.453125,0.265625,201.265625,613.453125,81.78125,264.8125,1.8894696587598965,0.203125,0.21875,0.125,0.078125,0.15625,0.109375,0.109375
stage3,38,98,64,3.40625,0.484375,0.28125,202.3125,509.765625,68.53125,205.84375,1.8976540711145145,0.15625,0.171875,0.078125,0.1875,0.078125,0.15625,0.171875
stage3,39,99,64,3.421875,0.515625,0.296875,278.921875,549.0,117.890625,229.96875,1.8795255433257712,0.140625,0.25,0.15625,0.109375,0.140625,0.140625,0.0625
stage3,40,100,64,3.3125,0.46875,0.25,228.4375,413.546875,97.828125,172.296875,1.8280244542138473,0.265625,0.171875,0.109375,0.09375,0.046875,0.203125,0.109375
control,1,41,64,3.328125,0.46875,0.28125,203.796875,540.96875,75.734375,223.265625,1.8957839621768342,0.21875,0.203125,0.140625,0.125,0.125,0.09375,0.09375
control,2,42,64,3.6875,0.625,0.359375,191.078125,501.8125,71.90625,218.890625,1.8895627444014755,0.21875,0.15625,0.15625,0.109375,0.09375,0.1875,0.078125
control,3,43,64,3.6875,0.59375,0.421875,185.40625,605.765625,65.734375,262.828125,1.8611319928097196,0.171875,0.1875,0.234375,0.15625,0.078125,0.109375,0.0625
control,4,44,64,3.6875,0.609375,0.375,221.234375,619.0,87.453125,259.59375,1.8106381640839933,0.265625,0.234375,0.15625,0.0625,0.125,0.09375,0.0625
control,5,45,64,3.421875,0.484375,0.265625,173.875,498.484375,62.265625,202.125,1.804016112833678,0.25,0.203125,0.0625,0.203125,0.0625,0.0625,0.15625
control,6,46,64,3.625,0.578125,0.34375,182.90625,518.0625,67.4375,221.703125,1.801477867446427,0.296875,0.21875,0.109375,0.125,0.0625,0.125,0.0625
control,7,47,64,3.46875,0.515625,0.34375,209.640625,550.640625,82.78125,240.125,1.8795090846208908,0.21875,0.203125,0.109375,0.0625,0.109375,0.15625,0.140625
control,8,48,64,3.484375,0.515625,0.28125,221.265625,649.6875,72.828125,270.953125,1.9002800165702343,0.25,0.109375,0.140625,0.140625,0.109375,0.140625,0.109375
control,9,49,64,3.625,0.59375,0.328125,232.203125,516.5,90.859375,228.03125,1.7671111614526098,0.296875,0.171875,0.109375,0.078125,0.03125,0.21875,0.09375
