phase,window,effective_window,rows,mean_level,level4plus_rate,level5_rate,mean_question_chars,mean_solution_chars,mean_question_tokens_proxy,mean_solution_tokens_proxy,subject_entropy,subject_algebra_rate,subject_intermediate_algebra_rate,subject_prealgebra_rate,subject_geometry_rate,subject_number_theory_rate,subject_counting_probability_rate,subject_precalculus_rate
stage2,1-10,41-50,640,3.5453125,0.5453125,0.33125,203.0015625,553.7,74.9703125,233.6,1.8878148649661592,0.240625,0.1828125,0.1453125,0.134375,0.115625,0.0953125,0.0859375
stage2,11-20,51-60,640,3.6015625,0.5609375,0.325,210.115625,576.1921875,80.896875,242.4703125,1.882872477036386,0.2453125,0.18125,0.159375,0.1203125,0.1046875,0.1046875,0.084375
stage3,1-10,61-70,640,3.4828125,0.5265625,0.296875,211.559375,542.703125,80.3421875,222.5921875,1.8923722040786373,0.2390625,0.18125,0.1515625,0.125,0.1015625,0.1015625,0.1
stage3,11-15,71-75,320,3.459375,0.509375,0.30625,229.409375,532.8375,86.8875,218.240625,1.9034968006016235,0.228125,0.184375,0.134375,0.125,0.121875,0.10625,0.1
stage3,16-20,76-80,320,3.625,0.534375,0.3375,204.915625,551.9125,75.63125,228.665625,1.8518678203547985,0.275,0.178125,0.165625,0.084375,0.11875,0.096875,0.08125
stage3,21-25,81-85,320,3.489028213166144,0.50625,0.296875,199.190625,543.83125,75.5875,225.134375,1.8793821942482836,0.203125,0.18125,0.2125,0.096875,0.134375,0.078125,0.09375
stage3,26-30,86-90,320,3.4827586206896552,0.521875,0.26875,196.78125,516.49375,74.1125,208.28125,1.8998193744922092,0.234375,0.1375,0.184375,0.109375,0.115625,0.115625,0.103125
stage3,31-35,91-95,320,3.38125,0.503125,0.296875,187.94375,523.071875,68.05,214.509375,1.8886076090495427,0.25625,0.14375,0.153125,0.103125,0.14375,0.103125,0.096875
stage3,36-40,96-100,320,3.346875,0.478125,0.2625,220.634375,508.334375,87.671875,213.028125,1.9075711621303286,0.20625,0.2,0.146875,0.109375,0.11875,0.11875,0.1
control,1-20,41-60,1280,3.5734375,0.553125,0.328125,206.55859375,564.94609375,77.93359375,238.03515625,1.8859624744785437,0.24296875,0.18203125,0.15234375,0.12734375,0.11015625,0.1,0.08515625
control,21-30,61-70,640,3.4828125,0.5265625,0.296875,211.559375,542.703125,80.3421875,222.5921875,1.8923722040786373,0.2390625,0.18125,0.1515625,0.125,0.1015625,0.1015625,0.1
control,31-35,71-75,320,3.459375,0.509375,0.30625,229.409375,532.8375,86.8875,218.240625,1.9034968006016235,0.228125,0.184375,0.134375,0.125,0.121875,0.10625,0.1
control,36-40,76-80,320,3.625,0.534375,0.3375,204.915625,551.9125,75.63125,228.665625,1.8518678203547985,0.275,0.178125,0.165625,0.084375,0.11875,0.096875,0.08125
control,41-45,81-85,320,3.489028213166144,0.50625,0.296875,199.190625,543.83125,75.5875,225.134375,1.8793821942482836,0.203125,0.18125,0.2125,0.096875,0.134375,0.078125,0.09375
control,46-50,86-90,320,3.4827586206896552,0.521875,0.26875,196.78125,516.49375,74.1125,208.28125,1.8998193744922092,0.234375,0.1375,0.184375,0.109375,0.115625,0.115625,0.103125
control,51-55,91-95,320,3.38125,0.503125,0.296875,187.94375,523.071875,68.05,214.509375,1.8886076090495427,0.25625,0.14375,0.153125,0.103125,0.14375,0.103125,0.096875
control,56-60,96-100,320,3.346875,0.478125,0.2625,220.634375,508.334375,87.671875,213.028125,1.9075711621303286,0.20625,0.2,0.146875,0.109375,0.11875,0.11875,0.1
