id,wandb_dir,training/global_step,wdl_sft/correct_ratio,critic/rewards/mean,critic/score/mean,response_length/mean,response_length_non_aborted/mean,response_length/clip_ratio,response/aborted_ratio,actor/grad_norm,actor/pg_loss,actor/wdl_sft_loss_total,actor/wdl_sft_loss_positive,actor/wdl_sft_loss_negative,actor/lr,perf/mfu/actor
b0-stage1,/data-1/wandb_runs/MATH-B0_STAGE1-QWEN3-1P7B-V1/wandb/offline-run-20260720_092226-myn86s9m,1,0.080078125,-0.83984375,-0.83984375,1232.056640625,1232.056640625,0.236328125,0,36.347618103027344,45.94981545582414,243.74957607984544,243.74957607984544,-5414.913348114491,1e-06,0.08598267921911554
b0-stage1,/data-1/wandb_runs/MATH-B0_STAGE1-QWEN3-1P7B-V1/wandb/offline-run-20260720_092226-myn86s9m,2,0.125,-0.75,-0.75,1053.07421875,1053.07421875,0.1953125,0,37.09201431274414,29.23066802509129,106.2392257584466,106.2392257584466,-6116.131923569574,1e-06,0.08534411519554004
b0-stage1,/data-1/wandb_runs/MATH-B0_STAGE1-QWEN3-1P7B-V1/wandb/offline-run-20260720_092226-myn86s9m,3,0.111328125,-0.77734375,-0.77734375,1013.865234375,1013.865234375,0.1953125,0,31.180192947387695,30.47682304121554,312.3147015852087,312.3147015852087,-5425.258704129387,1e-06,0.08559351048574132
b0-stage1,/data-1/wandb_runs/MATH-B0_STAGE1-QWEN3-1P7B-V1/wandb/offline-run-20260720_092226-myn86s9m,4,0.103515625,-0.79296875,-0.79296875,1044.333984375,1044.333984375,0.201171875,0,26.35085105895996,20.87764040986076,178.42084705128389,178.42084705128389,-4022.3799569186044,1e-06,0.08777415130913369
b0-stage1,/data-1/wandb_runs/MATH-B0_STAGE1-QWEN3-1P7B-V1/wandb/offline-run-20260720_092226-myn86s9m,5,0.1171875,-0.765625,-0.765625,1123.001953125,1123.001953125,0.2265625,0,32.8382453918457,28.173755215480924,93.13167497846815,93.13167497846815,-4275.521671301789,1e-06,0.08772147189414052
b0-stage1,/data-1/wandb_runs/MATH-B0_STAGE1-QWEN3-1P7B-V1/wandb/offline-run-20260720_092226-myn86s9m,6,0.107421875,-0.78515625,-0.78515625,1050.423828125,1050.423828125,0.201171875,0,34.04136276245117,30.22701417375356,191.66362660071428,191.66362660071428,-3821.012250956367,1e-06,0.08845449351955607
b0-stage1,/data-1/wandb_runs/MATH-B0_STAGE1-QWEN3-1P7B-V1/wandb/offline-run-20260720_092226-myn86s9m,7,0.099609375,-0.80078125,-0.80078125,1091.166015625,1091.166015625,0.2109375,0,34.638118743896484,45.401350212749094,463.4286475446489,463.4286475446489,-4305.460105419159,1e-06,0.08656290382193195
b0-stage1,/data-1/wandb_runs/MATH-B0_STAGE1-QWEN3-1P7B-V1/wandb/offline-run-20260720_092226-myn86s9m,8,0.0859375,-0.828125,-0.828125,1160.23828125,1160.23828125,0.2265625,0,26.587596893310547,21.920749659650028,197.01779153472498,197.01779153472498,-5393.890195419914,1e-06,0.08722524886661855
b0-stage1,/data-1/wandb_runs/MATH-B0_STAGE1-QWEN3-1P7B-V1/wandb/offline-run-20260720_092226-myn86s9m,9,0.0703125,-0.859375,-0.859375,1019.994140625,1019.994140625,0.189453125,0,23.632333755493164,14.550307180732489,113.6251893043518,113.6251893043518,-4804.157428348765,1e-06,0.08657761151359956
b0-stage1,/data-1/wandb_runs/MATH-B0_STAGE1-QWEN3-1P7B-V1/wandb/offline-run-20260720_092226-myn86s9m,10,0.095703125,-0.80859375,-0.80859375,968.392578125,968.392578125,0.173828125,0,37.071556091308594,44.47206987813115,403.11870090663433,403.11870090663433,-4019.811149597168,1e-06,0.08832842588905121
