x,y,n,pearson_r,pearson_p,spearman_r,spearman_p
wdl_sft/correct_ratio,macro_mean3,56,0.8596817080048588,2.2061015811348618e-17,0.9202638509766625,1.1584179656512111e-23
wdl_sft/correct_ratio,delta_mean3,56,-0.16216142932457414,0.232455397158562,0.028025564799853794,0.8375454506615434
critic/rewards/mean,macro_mean3,56,0.8596817080048588,2.2061015811348618e-17,0.9202638509766625,1.1584179656512111e-23
critic/rewards/mean,delta_mean3,56,-0.1621614293245741,0.232455397158562,0.028025564799853794,0.8375454506615434
response_length/mean,macro_mean3,56,0.8102494396923074,3.8996319599096613e-14,0.8866028708133972,1.0035656701019521e-19
response_length/mean,delta_mean3,56,-0.2213502898791844,0.10111300877796849,0.05290498974709502,0.6985735796576382
response_length/clip_ratio,macro_mean3,56,0.7576856480196766,1.3813756250022787e-11,0.7998701195899313,1.4235783314085384e-13
response_length/clip_ratio,delta_mean3,56,-0.25879417813497635,0.054115756389363966,-0.040812141480722104,0.7652100035139529
actor/grad_norm,macro_mean3,56,0.7087218955323872,9.869914285764595e-10,0.6577580314422421,3.631474134092951e-08
actor/grad_norm,delta_mean3,56,0.5332598141289829,2.3211085174883716e-05,0.5274777853725223,2.951192099822343e-05
actor/pg_loss,macro_mean3,56,0.9160192266726654,4.4463708469556676e-23,0.9075187969924813,5.374435800078321e-22
actor/pg_loss,delta_mean3,56,0.02215411806768395,0.8712532022716659,0.031852358168147646,0.8157270679786756
